Anio,MES,OCUPACION,CCAA,CIFRAS_ABSOLUTAS
2022,12,Asalariados,Comunidad Foral de Navarra,23031
2022,12,Asalariados,Comunidad Valenciana,214937
2022,12,Asalariados,Comunidad de Madrid,362880
2022,12,Asalariados,Extremadura,21327
2022,12,Asalariados,Galicia,85989
2022,12,Asalariados,Islas Baleares,111723
2022,12,Asalariados,La Rioja,8724
2022,12,Asalariados,Pais Vasco,79516
2022,12,Asalariados,Principado de Asturias,33490
2022,12,Asalariados,Region de Murcia,42449
2022,12,Autonomos,Andalucia,71976
2022,12,Autonomos,Aragon,14269
2022,12,Autonomos,Canarias,42723
2022,12,Autonomos,Cantabria,4703
2022,12,Autonomos,Castilla - La Mancha,17584
2022,12,Autonomos,Castilla y Leon,25817
2022,12,Autonomos,Cataluna,94929
2022,12,Autonomos,Comunidad Foral de Navarra,6259
2022,12,Autonomos,Comunidad Valenciana,54141
2022,12,Autonomos,Comunidad de Madrid,57163
2022,12,Autonomos,Extremadura,7757
2022,12,Autonomos,Galicia,24555
2022,12,Autonomos,Islas Baleares,11979
2022,12,Autonomos,Pais Vasco,14375
2022,12,Autonomos,Principado de Asturias,11288
2022,12,Autonomos,Region de Murcia,17414
2023,3,Asalariados,Andalucia,326866
2023,3,Asalariados,Aragon,44609
2023,3,Asalariados,Canarias,230378
2023,3,Asalariados,Cantabria,25373
2023,3,Asalariados,Castilla - La Mancha,83986
2023,3,Asalariados,Castilla y Leon,69860
2023,3,Asalariados,Cataluna,348250
2023,3,Asalariados,Ceuta y Melilla,4022
2023,3,Asalariados,Comunidad Foral de Navarra,23052
2023,3,Asalariados,Comunidad Valenciana,204032
2023,3,Asalariados,Comunidad de Madrid,371741
2023,3,Asalariados,Extremadura,20971
2023,3,Asalariados,Galicia,87246
2023,3,Asalariados,Islas Baleares,93569
2023,3,Asalariados,La Rioja,8554
2023,3,Asalariados,Pais Vasco,78052
2023,3,Asalariados,Principado de Asturias,36587
2023,3,Asalariados,Region de Murcia,44127
2023,3,Autonomos,Andalucia,73234
2023,3,Autonomos,Aragon,11907
2023,3,Autonomos,Canarias,37597
2023,3,Autonomos,Cantabria,7299
2023,3,Autonomos,Castilla - La Mancha,16397
2023,3,Autonomos,Castilla y Leon,24628
2023,3,Autonomos,Cataluna,79999
2023,3,Autonomos,Comunidad Foral de Navarra,5024
2023,3,Autonomos,Comunidad Valenciana,44564
2023,3,Autonomos,Comunidad de Madrid,56112
